filename,a1_malloc_calls,a2_free_calls,a3_missing_frees,b1_alloc_bytes,b2_free_bytes,b3_leak_bytes,c_run_time_sec
qasan_report_2025-05-15_23-06-04.txt,27756,27234,522,2612118,2533650,78468,1.114481
qasan_report_2025-05-15_23-06-39.txt,27819,27297,522,2622090,2543622,78468,1.120992
qasan_report_2025-05-15_23-07-13.txt,27903,27381,522,2635578,2557110,78468,1.116173
qasan_report_2025-05-15_23-07-48.txt,27903,27381,522,2635514,2557046,78468,1.11169
qasan_report_2025-05-15_23-08-24.txt,27462,26940,522,2565710,2487242,78468,1.112286
qasan_report_2025-05-15_23-08-59.txt,27693,27171,522,2602146,2523678,78468,1.110255
qasan_report_2025-05-15_23-09-34.txt,27259,26737,522,2533580,2455112,78468,1.097509
qasan_report_2025-05-15_23-10-09.txt,27273,26751,522,2535796,2457328,78468,1.100723
qasan_report_2025-05-15_23-10-44.txt,27168,26646,522,2521072,2442604,78468,1.104978
qasan_report_2025-05-15_23-11-19.txt,27140,26618,522,2516428,2437960,78468,1.098635
qasan_report_2025-05-15_23-11-54.txt,27574,27052,522,2585084,2506616,78468,1.1157
qasan_report_2025-05-15_23-12-29.txt,27567,27045,522,2584096,2505628,78468,1.099289
qasan_report_2025-05-15_23-13-04.txt,27140,26618,522,2516220,2437752,78468,1.096643
qasan_report_2025-05-15_23-13-38.txt,30808,30286,522,3097060,3018592,78468,1.185548
qasan_report_2025-05-15_23-14-13.txt,30871,30349,522,3107108,3028640,78468,1.197438
qasan_report_2025-05-15_23-14-47.txt,27567,27045,522,2584056,2505588,78468,1.098946
qasan_report_2025-05-15_23-15-22.txt,27553,27031,522,2581680,2503212,78468,1.10628
qasan_report_2025-05-15_23-15-57.txt,27553,27031,522,2581636,2503168,78468,1.121216
qasan_report_2025-05-15_23-16-31.txt,27161,26639,522,2519412,2440944,78468,1.106444
qasan_report_2025-05-15_23-17-06.txt,27161,26639,522,2519456,2440988,78468,1.096005
qasan_report_2025-05-15_23-17-40.txt,27140,26618,522,2516220,2437752,78468,1.247747
qasan_report_2025-05-15_23-18-15.txt,27140,26618,522,2516220,2437752,78468,1.09447
qasan_report_2025-05-15_23-18-50.txt,28365,27843,522,2710248,2631780,78468,1.118773
qasan_report_2025-05-15_23-19-24.txt,28365,27843,522,2710208,2631740,78468,1.121073
qasan_report_2025-05-15_23-19-59.txt,27553,27031,522,2581680,2503212,78468,1.097642
qasan_report_2025-05-15_23-20-34.txt,27966,27444,522,2646964,2568496,78468,1.115736
qasan_report_2025-05-15_23-21-08.txt,27147,26625,522,2517416,2438948,78468,1.103694
qasan_report_2025-05-15_23-21-43.txt,27147,26625,522,2517416,2438948,78468,1.102294
qasan_report_2025-05-15_23-22-17.txt,26285,25763,522,2390088,2311620,78468,1.075491
qasan_report_2025-05-15_23-22-54.txt,26334,25812,522,2397460,2318992,78468,1.119688
qasan_report_2025-05-15_23-23-28.txt,26334,25812,522,2397628,2319160,78468,1.07644
qasan_report_2025-05-15_23-24-02.txt,26215,25693,522,2378392,2299924,78468,1.077611
qasan_report_2025-05-15_23-24-37.txt,27188,26666,522,2532748,2454280,78468,1.096183
qasan_report_2025-05-15_23-25-11.txt,27209,26687,522,2536184,2457716,78468,1.09988
qasan_report_2025-05-15_23-25-46.txt,26334,25812,522,2397572,2319104,78468,1.078542
qasan_report_2025-05-15_23-26-20.txt,26334,25812,522,2397348,2318880,78468,1.080975
qasan_report_2025-05-15_23-26-55.txt,26333,25811,522,2364488,2286020,78468,1.288056
qasan_report_2025-05-15_23-27-30.txt,26348,25826,522,2399252,2320784,78468,1.091147
qasan_report_2025-05-15_23-28-05.txt,26320,25798,522,2394884,2316416,78468,1.096305
qasan_report_2025-05-15_23-28-39.txt,26215,25693,522,2378392,2299924,78468,1.068916
qasan_report_2025-05-15_23-29-14.txt,26215,25693,522,2378392,2299924,78468,1.088617
qasan_report_2025-05-15_23-29-48.txt,26551,26029,522,2431752,2353284,78468,1.088789
qasan_report_2025-05-15_23-30-23.txt,26551,26029,522,2431696,2353228,78468,1.079675
qasan_report_2025-05-15_23-30-57.txt,26341,25819,522,2398456,2319988,78468,1.070649
qasan_report_2025-05-15_23-31-31.txt,26453,25931,522,2416064,2337596,78468,1.099499
qasan_report_2025-05-15_23-32-06.txt,26215,25693,522,2378512,2300044,78468,1.069983
qasan_report_2025-05-15_23-32-41.txt,26222,25700,522,2379620,2301152,78468,1.069155
qasan_report_2025-05-15_23-33-16.txt,31782,31254,528,3120581,3041986,78595,1.300493
qasan_report_2025-05-15_23-33-51.txt,32174,31646,528,3181461,3102866,78595,1.264731
qasan_report_2025-05-15_23-34-26.txt,32706,32178,528,3265465,3186870,78595,1.291889
qasan_report_2025-05-15_23-35-01.txt,33000,32472,528,3312605,3234010,78595,1.311875
qasan_report_2025-05-15_23-35-36.txt,31698,31170,528,3105089,3026494,78595,1.249598
qasan_report_2025-05-15_23-36-11.txt,37270,36742,528,3988289,3909694,78595,1.408726
qasan_report_2025-05-15_23-36-47.txt,37382,36854,528,4006405,3927810,78595,1.417841
qasan_report_2025-05-15_23-37-21.txt,32657,32129,528,3258117,3179522,78595,1.266273
qasan_report_2025-05-15_23-37-56.txt,32720,32192,528,3267273,3188678,78595,1.282219
qasan_report_2025-05-15_23-38-32.txt,32720,32192,528,3267065,3188470,78595,1.298601
qasan_report_2025-05-15_23-39-07.txt,32357,31829,528,3208689,3130094,78595,1.2702
qasan_report_2025-05-15_23-39-42.txt,31866,31338,528,3131265,3052670,78595,1.263213
qasan_report_2025-05-15_23-40-17.txt,31936,31408,528,3142761,3064166,78595,1.285686
qasan_report_2025-05-15_23-40-52.txt,31929,31401,528,3141653,3063058,78595,1.264013
qasan_report_2025-05-15_23-41-27.txt,33560,33032,528,3400437,3321842,78595,1.307276
qasan_report_2025-05-15_23-42-02.txt,33560,33032,528,3400233,3321638,78595,1.295304
qasan_report_2025-05-15_23-42-37.txt,33147,32619,528,3334861,3256266,78595,1.28981
qasan_report_2025-05-15_23-43-12.txt,33217,32689,528,3345525,3266930,78595,1.411623
qasan_report_2025-05-15_23-43-47.txt,31705,31177,528,3106613,3028018,78595,1.253976
qasan_report_2025-05-15_23-44-22.txt,31642,31114,528,3096641,3018046,78595,1.258331
qasan_report_2025-05-15_23-44-58.txt,29238,28710,528,2744449,2665854,78595,1.168981
qasan_report_2025-05-15_23-45-32.txt,29431,28903,528,2779995,2701400,78595,1.195746
qasan_report_2025-05-15_23-46-07.txt,29406,28878,528,2770593,2691998,78595,1.19442
qasan_report_2025-05-15_23-46-42.txt,29406,28878,528,2770785,2692190,78595,1.183946
qasan_report_2025-05-15_23-47-16.txt,29217,28689,528,2740421,2661826,78595,1.206216
qasan_report_2025-05-15_23-47-52.txt,30932,30404,528,3012265,2933670,78595,1.232667
qasan_report_2025-05-15_23-48-27.txt,31009,30481,528,3024581,2945986,78595,1.322889
qasan_report_2025-05-15_23-49-03.txt,29413,28885,528,2771829,2693234,78595,1.184067
qasan_report_2025-05-15_23-49-37.txt,29539,29011,528,2791517,2712922,78595,1.180019
qasan_report_2025-05-15_23-50-12.txt,29574,29046,528,2796993,2718398,78595,1.199432
qasan_report_2025-05-15_23-50-47.txt,29413,28885,528,2771253,2692658,78595,1.183393
qasan_report_2025-05-15_23-51-22.txt,29224,28696,528,2741401,2662806,78595,1.171436
qasan_report_2025-05-15_23-51-57.txt,29847,29319,528,2840141,2761546,78595,1.196344
qasan_report_2025-05-15_23-52-32.txt,29910,29382,528,2850113,2771518,78595,1.202667
qasan_report_2025-05-15_23-53-07.txt,29833,29305,528,2838117,2759522,78595,1.205207
